Empresa;Principais Executivos
Reply do Brasil Sistemas de Informatica Ltda.;@Logistics Reply Srl, Reply S.P.A.
Cadillac Fairview Brasil Participacoes Ltda.;1699516 Ontario Inc, 1700480 Ontario Inc.
Competition Academia Ltda.;2Xfr Participacoes Ltda., Bruno Pace, Marco Antonio Pace, Mc Bastos Participacoes Ltda., Tatiana Pace
Quickly Travel Agencia de Viagens e Turismo Ltda.;3Mf Participacoes Ltda., Jtb Americas, Ltd.
Glr Consultoria em Sistemas Ltda.;3r Capital Participacoes Ltda., Bmjc Participacoes Ltda., Populis Servicos em Recursos Humanos Ltda.
Kr Mai Industria e Comercio de Rodas Ltda.;4M Investimentos e Participacoes S.A.
Guaeca Construcoes Ltda.;4Work Participacoes Empresariais Holding S/A.
Boardriders do Brasil Comercio de Artigos Esportivos Ltda.;54th Street Holdings, Mountain & Wave S.A R.L., Qs Holdings Sarl
Varanda Frutas e Mercearia Ltda.;5I Participacoes Ltda., Salus Ats Participacoes Ltda.
Clinicas Odontologicas 5Mshx Ltda.;5Mshx Participacoes Ltda.
Videographica Servicos e Participacoes Ltda.;5S Participacoes e Administracao de Bens e Direitos Proprios Ltda., Alberto Lopes de Oliveira Junior, Alceu Matheus Baptistao Junior, Sergio Salles Machado Filho
Monster Dog Franchising e Comercio Varejista e Alimenticio Ltda.;7Sete Enterprises S.A.
Employer Rural Ltda.;8Maars Participacoes S.A.
99Jobs Desenvolvimento Humano e Tecnologia S.A.;99Jobs Consultoria Ltda.
Hbsp Construcoes Engenharia Transportadora e Locadora de Maquinas Equipamentos e Veiculos Ltda.;A A P Parra Participacoes Ltda., Baveno Participacoes Ltda., Ekon Empreendimentos e Participacoes Ltda., Hemajo Participacoes Ltda., Sylp Empreendimentos e Participacoes Ltda., Passarelli Engenharia e Construcao Ltda.
A&e Ole Audiovisual Servicos e Representacoes Ltda.;A&e Services Brazil, Llc, History Channel Services Llc
Anobril Anodizacao Pintura e Extrusao de Aluminio Ltda.;A.H.G Participacoes Ltda., J.M.G.Participacoes Ltda.
Mammoet Brasil Guindastes Ltda.;A.L.e.Uk Holdings Limited, Ale Holdings Netherlands Bv, Mammoet America South Holding B.V., Mammoet Finance B.V.
Anr Transportes Rodoviarios Ltda.;A.N.Empreendimentos e Participacoes Ltda.
Epson Engenharia Ltda.;A2Bh Participacoes Ltda., Epson Engenharia e Empreendimentos S.A.
Basilicata Laurenti Ltda.;Aal Participacoes Ltda., Aln Participacoes Ltda., Arl Partcipacoes Ltda., Nln Participacoes Ltda., Ola Participacoes Ltda., Val Participacoes Ltda.
Cbaf Comercio de Alimentos Ltda.;Ab Par Participacoes Ltda., Andre Rodrigues Parente, Arthur Souza de Moraes, Daniell Studart Fonseca Chehab, Edmar Ronald Frota Aguiar, Eilson Oliveira Studart Fonseca Filho, Evv Par Participacoes Ltda., Ibr Par Participacoes Ltda., Ivo Cleiton Costa Bomfim, Leonardo Correa Barros, Marco Polo Barbosa Bione, Rafael Luis Sindeaux de Sousa
Cb Anhembi Comercio de Alimentos Ltda.;Ab Par Participacoes Ltda., Arthur Souza de Moraes, Domingos Paes Diogenes Nogueira Filho, Edmar Ronald Frota Aguiar, Eilson Oliveira Studart Fonseca Filho, Evv Par Participacoes Ltda., Felipe Russo Barreira, Hegel Barreira Martinz, Ibr Par Participacoes Ltda., Inaldo Araujo Maia, Ivo Cleiton Costa Bomfim, Joao Marcos Brito Vercosa, Leonardo Correa Barros, Lorman Paula Duarte, Marco Polo Barbosa Bione, Rafael Luis Sindeaux de Sousa, Ricardo Costa Caixeta, Ronan Frota Aguiar, Samuel Jacob Polastrini, Ticiana Russo Barreira Parente
Cb Market Place Comercio de Alimentos Ltda.;Ab Par Participacoes Ltda., Arthur Souza de Moraes, Edmar Ronald Frota Aguiar, Eilson Oliveira Studart Fonseca Filho, Evv Par Participacoes Ltda., Felipe Russo Barreira, Ibr Par Participacoes Ltda., Lais Melo Moreira, Leonardo Correa Barros, Matheus Araujo dos Santos, Renato Fernandes Mattozo, Samuel Jacob Polastrini, Victor Viana Holanda
Rossi Norte Empreendimentos S.A.;Abante Empreendimentos Imobiliarios Ltda., Anfriso Empreendimentos Imobiliarios Ltda., Aretusa Empreendimentos Imobiliarios Ltda., Baceiro Empreendimentos Imobiliarios Ltda., Cefisso Empreendimentos Imobiliarios Ltda., Consorcio Authentic Recife, Consorcio Forum Business Center, Consorcio Ideal Samambaia, Consorcio Ideal Torquato, Consorcio Reserva Morada, Consorcio Terraco Vieiralves, Enipeu Empreendimentos Imobiliarios Spe Ltda., Hibride Empreendimentos Imobiliarios Ltda., Maine Empreendimentos Imobiliarios Ltda., S.A.Leopoldo Empreendimentos Imobiliarios Ltda., Santa Aurora Empreendimentos Imobiliarios Ltda., Santa Belina Empreendimentos Imobiliarios Ltda., Santa Calixta Empreendimentos Imobiliarios Ltda., Santa Cassilda Empreendimentos Imobiliarios Ltda., Santa Emereciana Empreendimentos Imobiliarios Ltda., Santa Fidelmia Empreendimentos Imobiliarios Ltda., Santa Giana Empreendimentos Imobiliarios Ltda., Santa Humbelina Empreendimentos Imobiliarios Ltda., Santo Anatolio Empreendimentos Imobiliarios Ltda., Santo Indalecio Empreendimentos Imobiliarios Ltda., Sarpedon Empreendimentos Imobiliarios Ltda., Sarre Empreendimentos Imobiliarios Ltda., Termesso Empreendimentos Imobiliarios Ltda., Vendeia Empreendimentos Imobiliarios Ltda.
Rxs Servicos Auxiliares de Portaria e Limpeza Ltda.;Abbrx Participacoes e Investimentos Ltda., Clovis Martin Keller
Sunset Tech Tecnologia e Publicidade Ltda.;Abcdefghi Investimentos e Participacoes Ltda.
Feeling Comunicacao Integrada Ltda.;Abcdefghi Investimentos e Participacoes Ltda.
Interbrand Latam Ltda.;Abcdefghi Investimentos e Participacoes Ltda.
Interbrand Brasil Ltda.;Abcdefghi Investimentos e Participacoes Ltda.
Feeling Trade Marketing e Promocao Ltda.;Abcdefghi Investimentos e Participacoes Ltda.
Voxage Teleinformatica Ltda.;Abcw Participacoes S.A., Alexandre Constantine, Alexandre Jose Azzoni, Luiz Roberto Fontes Pacces, Walgran de Gusmao Apolonio
W Servicos Ltda.;Abcw Participacoes S.A., Alexandre Constantine, Alexandre Jose Azzoni, Luiz Roberto Fontes Pacces, Walgran de Gusmao Apolonio
