,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
0,1 1 A Flacipel Remocoes de Lixo Ltda.,Fabio,1,2,50.0
4,1000 X Servicos Administrativos Ltda.,Eliane,1,1,100.0
9,13A Informatica e Material de Escritorio Ltda.,Costa,2,2,100.0
11,2001 Servicos de Entregas Rapidas Ltda.,Alex,1,1,100.0
15,2Easy Servicos de Processamento de Dados Ltda.,Carlos,1,3,33.33333333333333
29,2M2N Comercio de Equipamentos Eletronicos Ltda.,Zimmermann,3,3,100.0
30,2Rc Comercio de Auto Pecas Ltda.,Carnevale,2,2,100.0
33,3 - R Industria e Comercio Ltda.,Cunha,1,2,50.0
38,3 Brasseurs Restaurante e Cervejaria Artesanal Ltda.,Brew,1,1,100.0
44,348 Bela Cintra Restaurante Ltda.,348,1,2,50.0
47,3A Calcados e Confeccoes Ltda.,Martins,1,1,100.0
53,3Bgp S.A.,Copabo,5,8,62.5
66,3F Foco Terceirizacao de Mao de Obra Ltda.,Ruis,2,2,100.0
67,3Jm Construtora e Incorporadora Ltda.,Carlos,1,1,100.0
70,3Mw Comunicacao e Tecnologia Ltda.,Empreendimentos,1,1,100.0
72,3N Servicos e Terceirizacao de Mao de Obra Ltda.,Eraldo,1,1,100.0
77,4 Servicos Especiais em Veiculos Ltda.,Cais,2,3,66.66666666666666
86,4Linux Software e Comercio de Programas Ltda.,Alves,1,2,50.0
97,5 S Industria e Comercio de Cosmeticos Ltda.,Pucci,3,3,100.0
104,9 de Julho Endoscopia Ltda.,Parada,2,2,100.0
105,99Jobs Desenvolvimento Humano e Tecnologia S.A.,99Jobs,1,1,100.0
110,A & B Galha - Servicos Contabeis S/S,Galha,2,2,100.0
117,A 2 Servicos e Apoio Empresarial Ltda.,Zanchi,2,2,100.0
120,A Alugamaquinas Comercio e Servicos Ltda.,Caldas,4,4,100.0
126,A Bela Cintra Delivery Ltda.,Gomes,1,1,100.0
136,A Casa do Porco Cozinha de Tradicao Bar e Restaurante Ltda.,Rueda,2,3,66.66666666666666
143,A Contabilista S/S,Carlos,2,4,50.0
151,"A R Angra - Arquitetura, Texturas e Revestimentos Ltda.",Maia,1,1,100.0
161,A Suarez Lustres Industria de Plasticos Ltda.,Suarez,3,3,100.0
162,A Trigueira Paes e Doces Ltda.,Assis,1,1,100.0
166,A e D' - Aprendizagem e Desenvolvimento Ltda.,Arnulphy,1,1,100.0
170,A&C Servicos de Educacao Ltda.,Alvarenga,1,1,100.0
178,A&e Ole Audiovisual Servicos e Representacoes Ltda.,Llc,2,3,66.66666666666666
180,A-Shunt Engenharia Ltda.,Fernandes,1,1,100.0
184,A.C.Escudeiro Estacionamento Ltda.,Antonio,1,1,100.0
187,A.D' Servicos Prediais Ltda.,Alberto,1,2,50.0
195,A.F.Zenardi Servicos Terceirizados,Andreska,1,1,100.0
199,A.J.M.M.Confeitaria Ltda.,Jose,2,2,100.0
205,A.L.B.Comercio de Alimentos Ltda.,Blotta,2,2,100.0
210,A.N.T.Ferramentas - Comercial e Importadora Ltda.,Santos,1,1,100.0
213,A.P.dos Santos Comercio de Artigos Para Decoracao,Alexandre,1,1,100.0
217,A.R de N Souza Fundacoes Ltda.,Atenilson,1,1,100.0
220,A.R.da Conceicao Construcoes,Alexsandro,1,1,100.0
223,A1 Solucoes em Recuperacao de Creditos Ltda.,Barbosa,1,3,33.33333333333333
233,A2 Artioli Servicos e Mao de Obra Especializada Ltda.,Artioli,1,1,100.0
236,A3 - Camarim Industria e Comercio de Confeccoes Eireli,Costa,1,1,100.0
239,A3 - Vaudeville Comercio de Alimentos e Bebidas Ltda.,Azar,1,2,50.0
243,A3 Contabilidade & Auditoria Sociedade Simples Ltda.,Ademir,1,2,50.0
249,A5 Solutions Servicos e Comercio em Telecomunicacoes Ltda.,Andre,1,3,33.33333333333333
257,A5Y Contabilidade Ltda.,Alice,1,2,50.0
262,A7 Servicos de Limpeza e Comercio Ltda.,Cardoso,2,2,100.0
268,Aag Entreposto de Carnes e Derivados Ltda.,Gomes,2,2,100.0
280,Aam Incorporadora de Imoveis Ltda.,Nicolau,3,3,100.0
282,Aamn Investimentos S.A.,Douro,1,2,50.0
285,Aap Servicos Auxiliares Ltda.,Alan,1,1,100.0
288,Aas Gestao Financeira e Treinamentos Ltda.,Anderson,1,1,100.0
292,Aayuni Comercio Transportes e Servicos Ltda.,Calil,1,1,100.0
295,Aba - Flex Industria e Comercio Ltda.,Almeida,1,1,100.0
300,Abc - Fisioterapia Ltda.,Edna,1,2,50.0
